countrycode,country,test,idgrade,n_res,comparable,spell,note
ARE,United Arab Emirates,PIRLS,4,1,1,2011-2016,
ARE,United Arab Emirates,TIMSS,4,1,1,2011-2015,
ARM,Armenia,TIMSS,4,1,1,2003-2011,2007 results not comparable to 2003 or 2011
ARM,Armenia,TIMSS,4,1,0,2003-2007,
ARM,Armenia,TIMSS,4,1,0,2011-2015,
ARM,Armenia,TIMSS,4,1,0,2007-2011,
ARM,Armenia,TIMSS,4,1,0,2007-2015,
ARM,Armenia,TIMSS,4,1,0,2007-2019,
ARM,Armenia,TIMSS,4,1,0,2011-2019,
AUS,Australia,PIRLS,4,1,1,2011-2016,
AUS,Australia,TIMSS,4,1,1,2003-2015,
AUS,Australia,TIMSS,4,1,1,2011-2015,
AUS,Australia,TIMSS,4,1,1,2003-2007,
AUS,Australia,TIMSS,4,1,1,2003-2011,
AUS,Australia,TIMSS,4,1,1,2007-2015,
AUS,Australia,TIMSS,4,1,1,2007-2011,
AUT,Austria,PIRLS,4,1,1,2006-2011,
AUT,Austria,PIRLS,4,1,1,2006-2016,
AUT,Austria,PIRLS,4,1,1,2011-2016,
AUT,Austria,TIMSS,4,1,1,2007-2011,
AZE,Azerbaijan,PIRLS,4,1,1,2011-2016,
BGR,Bulgaria,PIRLS,4,1,1,2001-2011,
BGR,Bulgaria,PIRLS,4,1,1,2006-2011,
BGR,Bulgaria,PIRLS,4,1,1,2001-2006,
BGR,Bulgaria,PIRLS,4,1,1,2011-2016,
BGR,Bulgaria,PIRLS,4,1,1,2001-2016,
BGR,Bulgaria,PIRLS,4,1,1,2006-2016,
BHR,Bahrain,TIMSS,4,1,1,2011-2015,
CAN,Canada,PIRLS,4,1,1,2011-2016,
CHL,Chile,TIMSS,4,1,1,2011-2015,
CZE,Czech Republic,PIRLS,4,1,1,2011-2016,
CZE,Czech Republic,TIMSS,4,1,1,2007-2011,
CZE,Czech Republic,TIMSS,4,1,1,2007-2015,
CZE,Czech Republic,TIMSS,4,1,1,2011-2015,
DEU,Germany,PIRLS,4,1,1,2006-2016,
DEU,Germany,PIRLS,4,1,1,2001-2006,
DEU,Germany,PIRLS,4,1,1,2001-2011,
DEU,Germany,PIRLS,4,1,1,2001-2016,
DEU,Germany,PIRLS,4,1,1,2011-2016,
DEU,Germany,PIRLS,4,1,1,2006-2011,
DEU,Germany,TIMSS,4,1,1,2007-2015,
DEU,Germany,TIMSS,4,1,1,2011-2015,
DEU,Germany,TIMSS,4,1,1,2007-2011,
DNK,Denmark,PIRLS,4,1,1,2006-2011,
DNK,Denmark,PIRLS,4,1,1,2011-2016,
DNK,Denmark,PIRLS,4,1,1,2006-2016,
DNK,Denmark,TIMSS,4,1,1,2007-2011,
DNK,Denmark,TIMSS,4,1,1,2011-2015,
DNK,Denmark,TIMSS,4,1,1,2007-2015,
ESP,Spain,PIRLS,4,1,1,2006-2011,
ESP,Spain,PIRLS,4,1,1,2011-2016,
ESP,Spain,PIRLS,4,1,1,2006-2016,
ESP,Spain,TIMSS,4,1,1,2011-2015,
FIN,Finland,PIRLS,4,1,1,2011-2016,
FIN,Finland,TIMSS,4,1,1,2011-2015,
FRA,France,PIRLS,4,1,1,2001-2006,
FRA,France,PIRLS,4,1,1,2011-2016,
FRA,France,PIRLS,4,1,1,2001-2011,
FRA,France,PIRLS,4,1,1,2006-2016,
FRA,France,PIRLS,4,1,1,2006-2011,
FRA,France,PIRLS,4,1,1,2001-2016,
GEO,Georgia,PIRLS,4,1,1,2006-2011,
GEO,Georgia,PIRLS,4,1,1,2011-2016,
GEO,Georgia,PIRLS,4,1,1,2006-2016,
GEO,Georgia,TIMSS,4,1,1,2007-2015,
GEO,Georgia,TIMSS,4,1,1,2011-2015,
GEO,Georgia,TIMSS,4,1,1,2007-2011,
HKG,Hong Kong SAR,PIRLS,4,1,1,2001-2011,
HKG,Hong Kong SAR,PIRLS,4,1,1,2006-2011,
HKG,Hong Kong SAR,PIRLS,4,1,1,2001-2016,
HKG,Hong Kong SAR,PIRLS,4,1,1,2001-2006,
HKG,Hong Kong SAR,PIRLS,4,1,1,2011-2016,
HKG,Hong Kong SAR,PIRLS,4,1,1,2006-2016,
HKG,Hong Kong SAR,TIMSS,4,1,1,2007-2011,
HKG,Hong Kong SAR,TIMSS,4,1,1,2003-2007,
HKG,Hong Kong SAR,TIMSS,4,1,1,2011-2015,
HKG,Hong Kong SAR,TIMSS,4,1,1,2003-2015,
HKG,Hong Kong SAR,TIMSS,4,1,1,2003-2011,
HKG,Hong Kong SAR,TIMSS,4,1,1,2007-2015,
HRV,Croatia,TIMSS,4,1,1,2011-2015,
HUN,Hungary,PIRLS,4,1,1,2001-2006,
HUN,Hungary,PIRLS,4,1,1,2001-2016,
HUN,Hungary,PIRLS,4,1,1,2011-2016,
HUN,Hungary,PIRLS,4,1,1,2006-2016,
HUN,Hungary,PIRLS,4,1,1,2001-2011,
HUN,Hungary,PIRLS,4,1,1,2006-2011,
HUN,Hungary,TIMSS,4,1,1,2003-2011,
HUN,Hungary,TIMSS,4,1,1,2011-2015,
HUN,Hungary,TIMSS,4,1,1,2007-2011,
HUN,Hungary,TIMSS,4,1,1,2003-2007,
HUN,Hungary,TIMSS,4,1,1,2007-2015,
HUN,Hungary,TIMSS,4,1,1,2003-2015,
IDN,Indonesia,PIRLS,4,1,1,2006-2011,
IRL,Ireland,PIRLS,4,1,1,2011-2016,
IRL,Ireland,TIMSS,4,1,1,2011-2015,
IRN,"Iran, Islamic Rep. of",PIRLS,4,1,1,2006-2011,
IRN,"Iran, Islamic Rep. of",PIRLS,4,1,1,2006-2016,
IRN,"Iran, Islamic Rep. of",PIRLS,4,1,1,2001-2006,
IRN,"Iran, Islamic Rep. of",PIRLS,4,1,1,2011-2016,
IRN,"Iran, Islamic Rep. of",PIRLS,4,1,1,2001-2016,
IRN,"Iran, Islamic Rep. of",PIRLS,4,1,1,2001-2011,
IRN,"Iran, Islamic Rep. of",TIMSS,4,1,1,2007-2015,
IRN,"Iran, Islamic Rep. of",TIMSS,4,1,1,2011-2015,
IRN,"Iran, Islamic Rep. of",TIMSS,4,1,1,2003-2015,
IRN,"Iran, Islamic Rep. of",TIMSS,4,1,1,2007-2011,
IRN,"Iran, Islamic Rep. of",TIMSS,4,1,1,2003-2007,
IRN,"Iran, Islamic Rep. of",TIMSS,4,1,1,2003-2011,
ISL,Iceland,PIRLS,4,1,1,2001-2006,
ISR,Israel,PIRLS,4,1,0,2006-2011,
ISR,Israel,PIRLS,4,1,0,2006-2016,
ISR,Israel,PIRLS,4,1,0,2001-2011,
ISR,Israel,PIRLS,4,1,0,2001-2016,
ISR,Israel,PIRLS,4,1,1,2011-2016,
ISR,Israel,PIRLS,4,1,1,2001-2006,
ITA,Italy,PIRLS,4,1,1,2001-2011,
ITA,Italy,PIRLS,4,1,1,2001-2016,
ITA,Italy,PIRLS,4,1,1,2006-2011,
ITA,Italy,PIRLS,4,1,1,2006-2016,
ITA,Italy,PIRLS,4,1,1,2001-2006,
ITA,Italy,PIRLS,4,1,1,2011-2016,
ITA,Italy,TIMSS,4,1,1,2011-2015,
ITA,Italy,TIMSS,4,1,1,2007-2015,
ITA,Italy,TIMSS,4,1,1,2007-2011,
ITA,Italy,TIMSS,4,1,1,2003-2015,
ITA,Italy,TIMSS,4,1,1,2003-2011,
ITA,Italy,TIMSS,4,1,1,2003-2007,
JPN,Japan,TIMSS,4,1,1,2007-2015,
JPN,Japan,TIMSS,4,1,1,2011-2015,
JPN,Japan,TIMSS,4,1,1,2003-2007,
JPN,Japan,TIMSS,4,1,1,2007-2011,
JPN,Japan,TIMSS,4,1,1,2003-2011,
JPN,Japan,TIMSS,4,1,1,2003-2015,
KAZ,Kazakhstan,TIMSS,4,1,1,2011-2015,
KAZ,Kazakhstan,TIMSS,4,1,0,2007-2011,
KAZ,Kazakhstan,TIMSS,4,1,0,2007-2015,
KAZ,Kazakhstan,TIMSS,4,1,0,2007-2019,
KOR,"Korea, Rep. of",TIMSS,4,1,1,2011-2015,
KWT,Kuwait,PIRLS,4,1,1,2001-2006,
KWT,Kuwait,TIMSS,4,1,0,2007-2011,
KWT,Kuwait,TIMSS,4,1,0,2007-2015,
KWT,Kuwait,TIMSS,4,1,0,2007-2019,
KWT,Kuwait,TIMSS,4,1,1,2011-2015,
LTU,Lithuania,PIRLS,4,1,1,2001-2016,
LTU,Lithuania,PIRLS,4,1,1,2001-2011,
LTU,Lithuania,PIRLS,4,1,1,2006-2016,
LTU,Lithuania,PIRLS,4,1,1,2011-2016,
LTU,Lithuania,PIRLS,4,1,1,2001-2006,
LTU,Lithuania,PIRLS,4,1,1,2006-2011,
LTU,Lithuania,TIMSS,4,1,1,2007-2015,
LTU,Lithuania,TIMSS,4,1,1,2007-2011,
LTU,Lithuania,TIMSS,4,1,1,2011-2015,
LTU,Lithuania,TIMSS,4,1,1,2003-2011,
LTU,Lithuania,TIMSS,4,1,1,2003-2007,
LTU,Lithuania,TIMSS,4,1,1,2003-2015,
LVA,Latvia,PIRLS,4,1,1,2001-2006,
MAR,Morocco,PIRLS,4,1,1,2011-2016,
MAR,Morocco,PIRLS,4,1,1,2001-2006,
MAR,Morocco,PIRLS,4,1,0,2001-2011,
MAR,Morocco,PIRLS,4,1,0,2001-2016,
MAR,Morocco,PIRLS,4,1,0,2006-2011,
MAR,Morocco,PIRLS,4,1,0,2006-2016,
MAR,Morocco,TIMSS,4,1,1,2003-2007,
MAR,Morocco,TIMSS,4,1,0,2003-2011,
MAR,Morocco,TIMSS,4,1,0,2003-2015,
MAR,Morocco,TIMSS,4,1,0,2003-2019,
MAR,Morocco,TIMSS,4,1,0,2007-2011,
MAR,Morocco,TIMSS,4,1,0,2007-2015,
MAR,Morocco,TIMSS,4,1,0,2007-2019,
MAR,Morocco,TIMSS,4,1,1,2011-2015,
MDA,"Moldova, Rep. of",PIRLS,4,1,1,2001-2006,
MKD,"Macedonia, Rep. of",PIRLS,4,1,1,2001-2006,
MLT,Malta,PIRLS,4,1,1,2011-2016,
NLD,Netherlands,PIRLS,4,1,1,2001-2006,
NLD,Netherlands,PIRLS,4,1,1,2006-2016,
NLD,Netherlands,PIRLS,4,1,1,2011-2016,
NLD,Netherlands,PIRLS,4,1,1,2001-2016,
NLD,Netherlands,PIRLS,4,1,1,2001-2011,
NLD,Netherlands,PIRLS,4,1,1,2006-2011,
NLD,Netherlands,TIMSS,4,1,1,2011-2015,
NLD,Netherlands,TIMSS,4,1,1,2003-2011,
NLD,Netherlands,TIMSS,4,1,1,2003-2015,
NLD,Netherlands,TIMSS,4,1,1,2007-2011,
NLD,Netherlands,TIMSS,4,1,1,2007-2015,
NLD,Netherlands,TIMSS,4,1,1,2003-2007,
NOR,Norway,PIRLS,4,1,1,2006-2016,
NOR,Norway,PIRLS,4,1,1,2001-2016,
NOR,Norway,PIRLS,4,1,1,2001-2006,
NOR,Norway,PIRLS,4,1,1,2011-2016,
NOR,Norway,PIRLS,4,1,1,2006-2011,
NOR,Norway,PIRLS,4,1,1,2001-2011,
NOR,Norway,TIMSS,4,1,1,2011-2015,
NOR,Norway,TIMSS,4,1,1,2003-2007,
NOR,Norway,TIMSS,4,1,1,2007-2011,
NOR,Norway,TIMSS,4,1,1,2003-2011,
NOR,Norway,TIMSS,4,1,1,2003-2015,
NOR,Norway,TIMSS,4,1,1,2007-2015,
NZL,New Zealand,PIRLS,4,1,1,2006-2016,
NZL,New Zealand,PIRLS,4,1,1,2011-2016,
NZL,New Zealand,PIRLS,4,1,1,2006-2011,
NZL,New Zealand,PIRLS,4,1,1,2001-2011,
NZL,New Zealand,PIRLS,4,1,1,2001-2016,
NZL,New Zealand,PIRLS,4,1,1,2001-2006,
NZL,New Zealand,TIMSS,4,1,1,2007-2015,
NZL,New Zealand,TIMSS,4,1,1,2003-2011,
NZL,New Zealand,TIMSS,4,1,1,2003-2015,
NZL,New Zealand,TIMSS,4,1,1,2003-2007,
NZL,New Zealand,TIMSS,4,1,1,2007-2011,
NZL,New Zealand,TIMSS,4,1,1,2011-2015,
OMN,Oman,PIRLS,4,1,1,2011-2016,
OMN,Oman,TIMSS,4,1,1,2011-2015,
POL,Poland,PIRLS,4,1,0,2011-2016,
POL,Poland,PIRLS,4,1,1,2006-2011,
POL,Poland,PIRLS,4,1,0,2006-2016,
POL,Poland,TIMSS,4,1,0,2011-2015,
POL,Poland,TIMSS,4,1,0,2011-2019,
PRT,Portugal,PIRLS,4,1,1,2011-2016,
PRT,Portugal,TIMSS,4,1,1,2011-2015,
QAT,Qatar,PIRLS,4,1,0,2006-2011,
QAT,Qatar,PIRLS,4,1,0,2006-2016,
QAT,Qatar,PIRLS,4,1,1,2011-2016,
QAT,Qatar,TIMSS,4,1,0,2007-2011,
QAT,Qatar,TIMSS,4,1,0,2007-2015,
QAT,Qatar,TIMSS,4,1,0,2007-2019,
QAT,Qatar,TIMSS,4,1,1,2011-2015,
ROU,Romania,PIRLS,4,1,1,2006-2011,
ROU,Romania,PIRLS,4,1,1,2001-2011,
ROU,Romania,PIRLS,4,1,1,2001-2006,
RUS,Russian Federation,PIRLS,4,1,1,2006-2016,
RUS,Russian Federation,PIRLS,4,1,1,2001-2016,
RUS,Russian Federation,PIRLS,4,1,1,2001-2011,
RUS,Russian Federation,PIRLS,4,1,1,2006-2011,
RUS,Russian Federation,PIRLS,4,1,1,2011-2016,
RUS,Russian Federation,PIRLS,4,1,1,2001-2006,
RUS,Russian Federation,TIMSS,4,1,1,2003-2007,
RUS,Russian Federation,TIMSS,4,1,1,2007-2011,
RUS,Russian Federation,TIMSS,4,1,1,2003-2015,
RUS,Russian Federation,TIMSS,4,1,1,2011-2015,
RUS,Russian Federation,TIMSS,4,1,1,2007-2015,
RUS,Russian Federation,TIMSS,4,1,1,2003-2011,
SAU,Saudi Arabia,PIRLS,4,1,1,2011-2016,
SAU,Saudi Arabia,TIMSS,4,1,1,2011-2015,
SGP,Singapore,PIRLS,4,1,1,2006-2011,
SGP,Singapore,PIRLS,4,1,1,2001-2011,
SGP,Singapore,PIRLS,4,1,1,2001-2016,
SGP,Singapore,PIRLS,4,1,1,2011-2016,
SGP,Singapore,PIRLS,4,1,1,2001-2006,
SGP,Singapore,PIRLS,4,1,1,2006-2016,
SGP,Singapore,TIMSS,4,1,1,2007-2015,
SGP,Singapore,TIMSS,4,1,1,2003-2011,
SGP,Singapore,TIMSS,4,1,1,2003-2007,
SGP,Singapore,TIMSS,4,1,1,2003-2015,
SGP,Singapore,TIMSS,4,1,1,2011-2015,
SGP,Singapore,TIMSS,4,1,1,2007-2011,
SRB,Serbia,TIMSS,4,1,1,2011-2015,
SVK,Slovak Republic,PIRLS,4,1,1,2001-2016,
SVK,Slovak Republic,PIRLS,4,1,1,2001-2006,
SVK,Slovak Republic,PIRLS,4,1,1,2001-2011,
SVK,Slovak Republic,PIRLS,4,1,1,2011-2016,
SVK,Slovak Republic,PIRLS,4,1,1,2006-2011,
SVK,Slovak Republic,PIRLS,4,1,1,2006-2016,
SVK,Slovak Republic,TIMSS,4,1,1,2007-2011,
SVK,Slovak Republic,TIMSS,4,1,1,2007-2015,
SVK,Slovak Republic,TIMSS,4,1,1,2011-2015,
SVN,Slovenia,PIRLS,4,1,1,2006-2011,
SVN,Slovenia,PIRLS,4,1,1,2001-2016,
SVN,Slovenia,PIRLS,4,1,1,2011-2016,
SVN,Slovenia,PIRLS,4,1,1,2001-2006,
SVN,Slovenia,PIRLS,4,1,1,2006-2016,
SVN,Slovenia,PIRLS,4,1,1,2001-2011,
SVN,Slovenia,TIMSS,4,1,1,2003-2011,
SVN,Slovenia,TIMSS,4,1,1,2003-2015,
SVN,Slovenia,TIMSS,4,1,1,2007-2011,
SVN,Slovenia,TIMSS,4,1,1,2007-2015,
SVN,Slovenia,TIMSS,4,1,1,2011-2015,
SVN,Slovenia,TIMSS,4,1,1,2003-2007,
SWE,Sweden,PIRLS,4,1,1,2001-2006,
SWE,Sweden,PIRLS,4,1,1,2011-2016,
SWE,Sweden,PIRLS,4,1,1,2001-2016,
SWE,Sweden,PIRLS,4,1,1,2006-2016,
SWE,Sweden,PIRLS,4,1,1,2001-2011,
SWE,Sweden,PIRLS,4,1,1,2006-2011,
SWE,Sweden,TIMSS,4,1,1,2007-2015,
SWE,Sweden,TIMSS,4,1,1,2007-2011,
SWE,Sweden,TIMSS,4,1,1,2011-2015,
TTO,Trinidad and Tobago,PIRLS,4,1,1,2011-2016,
TTO,Trinidad and Tobago,PIRLS,4,1,1,2006-2011,
TTO,Trinidad and Tobago,PIRLS,4,1,1,2006-2016,
TUN,Tunisia,TIMSS,4,1,1,2003-2007,
TUN,Tunisia,TIMSS,4,1,1,2007-2011,
TUN,Tunisia,TIMSS,4,1,1,2003-2011,
TUR,Turkey,TIMSS,4,1,1,2011-2015,
TWN,Chinese Taipei,PIRLS,4,1,1,2006-2016,
TWN,Chinese Taipei,PIRLS,4,1,1,2011-2016,
TWN,Chinese Taipei,PIRLS,4,1,1,2006-2011,
TWN,Chinese Taipei,TIMSS,4,1,1,2007-2011,
TWN,Chinese Taipei,TIMSS,4,1,1,2011-2015,
